Datetime,Symbol,Open,High,Low,Close,Volume
2025-06-30 23:11:00,QQQ,551.18,551.2,551.15,551.15,832.0
2025-06-30 23:12:00,QQQ,551.15,551.15,551.15,551.15,275.0
2025-06-30 23:14:00,QQQ,551.11,551.11,551.11,551.11,207.0
2025-06-30 23:15:00,QQQ,551.09,551.09,551.07,551.07,361.0
2025-06-30 23:17:00,QQQ,551.2,551.22,551.2,551.22,529.0
2025-06-30 23:18:00,QQQ,551.17,551.17,551.17,551.17,224.0
2025-06-30 23:21:00,QQQ,551.13,551.13,551.13,551.13,273.0
2025-06-30 23:24:00,QQQ,551.1113,551.1113,551.1113,551.1113,161.0
2025-06-30 23:25:00,QQQ,551.19,551.19,551.19,551.19,128.0
2025-06-30 23:27:00,QQQ,551.13,551.13,551.11,551.11,1221.0
2025-06-30 23:28:00,QQQ,551.11,551.11,551.0,551.0,992.0
2025-06-30 23:29:00,QQQ,550.96,550.96,550.95,550.95,439.0
2025-06-30 23:30:00,QQQ,550.9499,550.9499,550.75,550.75,2496.0
2025-06-30 23:31:00,QQQ,550.95,550.95,550.95,550.95,268.0
2025-06-30 23:32:00,QQQ,550.96,550.96,550.96,550.96,143.0
2025-06-30 23:33:00,QQQ,550.97,550.99,550.97,550.99,1359.0
2025-06-30 23:35:00,QQQ,551.0,551.0,551.0,551.0,218.0
2025-06-30 23:36:00,QQQ,551.04,551.04,551.04,551.04,292.0
2025-06-30 23:37:00,QQQ,551.16,551.28,551.16,551.28,1144.0
2025-06-30 23:38:00,QQQ,551.39,551.42,551.39,551.42,696.0
2025-06-30 23:39:00,QQQ,551.45,551.4788,551.41,551.41,3410.0
2025-06-30 23:40:00,QQQ,551.39,551.39,551.39,551.39,392.0
2025-06-30 23:41:00,QQQ,551.38,551.39,551.38,551.39,510.0
2025-06-30 23:42:00,QQQ,551.44,551.5,551.44,551.5,2053.0
2025-06-30 23:43:00,QQQ,551.52,551.52,551.52,551.52,740.0
